"division","district","upazila"
"Dhaka","Tangail","Gopalpur"
"Dhaka","Tangail","Basail"
"Dhaka","Tangail","Bhuapur"
"Dhaka","Tangail","Delduar"
"Dhaka","Tangail","Ghatail"
"Dhaka","Tangail","Kalihati"
"Dhaka","Tangail","Madhupur"
"Dhaka","Tangail","Mirzapur"
"Dhaka","Tangail","Nagarpur"
"Dhaka","Tangail","Sakhipur"
"Dhaka","Tangail","Dhanbari"
"Dhaka","Tangail","Tangail Sadar"
"Dhaka","Narsingdi","Narsingdi Sadar"
"Dhaka","Narsingdi","Belabo"
"Dhaka","Narsingdi","Monohardi"
"Dhaka","Narsingdi","Palash"
"Dhaka","Narsingdi","Raipura"
"Dhaka","Narsingdi","Shibpur"
"Mymensingh","Netrakona","Atpara"
"Mymensingh","Netrakona","Barhatta"
"Mymensingh","Netrakona","Durgapur"
"Mymensingh","Netrakona","Khaliajuri"
"Mymensingh","Netrakona","Kalmakanda"
"Mymensingh","Netrakona","Kendua"
"Mymensingh","Netrakona","Madan"
"Mymensingh","Netrakona","Mohanganj"
"Mymensingh","Netrakona","Netrakona Sadar"
"Mymensingh","Netrakona","Purbadhala"
"Mymensingh","Sherpur","Jhenaigati"
"Mymensingh","Sherpur","Nakla"
"Mymensingh","Sherpur","Nalitabari"
"Mymensingh","Sherpur","Sherpur Sadar"
"Mymensingh","Sherpur","Sreebardi"
"Mymensingh","Jamalpur","Baksiganj"
"Mymensingh","Jamalpur","Dewanganj"
"Mymensingh","Jamalpur","Islampur"
"Mymensingh","Jamalpur","Jamalpur Sadar"
"Mymensingh","Jamalpur","Madarganj"
"Mymensingh","Jamalpur","Melandaha"
"Mymensingh","Jamalpur","Sarishabari"
"Mymensingh","Mymensingh","Trishal"
"Mymensingh","Mymensingh","Dhobaura"
"Mymensingh","Mymensingh","Fulbaria"
"Mymensingh","Mymensingh","Gafargaon"
"Mymensingh","Mymensingh","Gauripur"
"Mymensingh","Mymensingh","Haluaghat"
"Mymensingh","Mymensingh","Ishwarganj"
"Mymensingh","Mymensingh","Mymensingh Sadar"
"Mymensingh","Mymensingh","Muktagachha"
"Mymensingh","Mymensingh","Nandail"
"Mymensingh","Mymensingh","Phulpur"
"Mymensingh","Mymensingh","Bhaluka"
"Mymensingh","Mymensingh","Tara Khanda"
"Rangpur","Dinajpur","Birampur"
"Rangpur","Dinajpur","Birganj"
"Rangpur","Dinajpur","Biral"
"Rangpur","Dinajpur","Bochaganj"
"Rangpur","Dinajpur","Chirirbandar"
"Rangpur","Dinajpur","Phulbari"
"Rangpur","Dinajpur","Ghoraghat"
"Rangpur","Dinajpur","Hakimpur"
"Rangpur","Dinajpur","Kaharole"
"Rangpur","Dinajpur","Khansama"
"Rangpur","Dinajpur","Dinajpur Sadar"
"Rangpur","Dinajpur","Chapai Nawabganj"
"Rangpur","Dinajpur","Parbatipur"
"Rangpur","Gaibandha","Phulchhari"
"Rangpur","Gaibandha","Gaibandha Sadar"
"Rangpur","Gaibandha","Gobindaganj"
"Rangpur","Gaibandha","Palashbari"
"Rangpur","Gaibandha","Sadullapur"
"Rangpur","Gaibandha","Sughatta"
"Rangpur","Gaibandha","Sundarganj"
"Rangpur","Kurigram","Bhurungamari"
"Rangpur","Kurigram","Char Rajibpur"
"Rangpur","Kurigram","Chilmari"
"Rangpur","Kurigram","Phulbari"
"Rangpur","Kurigram","Kurigram Sadar"
"Rangpur","Kurigram","Nageshwari"
"Rangpur","Kurigram","Rajarhat"
"Rangpur","Kurigram","Raomari"
"Rangpur","Kurigram","Ulipur"
"Rangpur","Lalmonirhat","Aditmari"
"Rangpur","Lalmonirhat","Hatibandha"
"Rangpur","Lalmonirhat","Kaliganj"
"Rangpur","Lalmonirhat","Lalmonirhat Sadar"
"Rangpur","Lalmonirhat","Patgram"
"Rangpur","Nilphamari","Dimla"
"Rangpur","Nilphamari","Domar"
"Rangpur","Nilphamari","Jaldhaka"
"Rangpur","Nilphamari","Kishoreganj"
"Rangpur","Nilphamari","Nilphamari Sadar"
"Rangpur","Nilphamari","Saidpur"
"Rangpur","Panchagarh","Atwari"
"Rangpur","Panchagarh","Boda"
"Rangpur","Panchagarh","Debiganj"
"Rangpur","Panchagarh","Panchagarh Sadar"
"Rangpur","Panchagarh","Tetulia"
"Rangpur","Rangpur","Badarganj"
"Rangpur","Rangpur","Gangachhara"
"Rangpur","Rangpur","Kaunia"
"Rangpur","Rangpur","Rangpur Sadar"
"Rangpur","Rangpur","Mithapukur"
"Rangpur","Rangpur","Pirgachha"
"Rangpur","Rangpur","Pirganj"
"Rangpur","Rangpur","Taraganj"
"Rangpur","Thakurgaon","Baliadangi"
"Rangpur","Thakurgaon","Haripur"
"Rangpur","Thakurgaon","Pirganj"
"Rangpur","Thakurgaon","Ranisankail"
"Rangpur","Thakurgaon","Thakurgaon Sadar"
"Chittagong","Bandarban","Ali Kadam"
"Chittagong","Bandarban","Bandarban Sadar"
"Chittagong","Bandarban","Lama"
"Chittagong","Bandarban","Naikhongchhari"
"Chittagong","Bandarban","Rowangchhari"
"Chittagong","Bandarban","Ruma"
"Chittagong","Bandarban","Thanchi"
"Chittagong","Brahmanbaria","Akhaura"
"Chittagong","Brahmanbaria","Bancharampur"
"Chittagong","Brahmanbaria","Brahmanbaria Sadar"
"Chittagong","Brahmanbaria","Kasba"
"Chittagong","Brahmanbaria","Nabinagar"
"Chittagong","Brahmanbaria","Nasirnagar"
"Chittagong","Brahmanbaria","Sarail"
"Chittagong","Brahmanbaria","Ashuganj"
"Chittagong","Brahmanbaria","Bijoynagar"
"Chittagong","Chandpur","Chandpur Sadar"
"Chittagong","Chandpur","Faridganj"
"Chittagong","Chandpur","Haimchar"
"Chittagong","Chandpur","Haziganj"
"Chittagong","Chandpur","Kachua"
"Chittagong","Chandpur","Matlab Dakshin"
"Chittagong","Chandpur","Matlab Uttar"
"Chittagong","Chandpur","Shahrasti"
"Chittagong","Chittagong","Anwara"
"Chittagong","Chittagong","Banshkhali"
"Chittagong","Chittagong","Boalkhali"
"Chittagong","Chittagong","Chandanaish"
"Chittagong","Chittagong","Fatikchhari"
"Chittagong","Chittagong","Hathazari"
"Chittagong","Chittagong","Karnaphuli"
"Chittagong","Chittagong","Lohagara"
"Chittagong","Chittagong","Mirsharai"
"Chittagong","Chittagong","Patiya"
"Chittagong","Chittagong","Rangunia"
"Chittagong","Chittagong","Raozan"
"Chittagong","Chittagong","Sandwip"
"Chittagong","Chittagong","Satkania"
"Chittagong","Chittagong","Sitakunda"
"Chittagong","Comilla","Barura"
"Chittagong","Comilla","Brahmanpara"
"Chittagong","Comilla","Burichang"
"Chittagong","Comilla","Chandina"
"Chittagong","Comilla","Chauddagram"
"Chittagong","Comilla","Daudkandi"
"Chittagong","Comilla","Debidwar"
"Chittagong","Comilla","Homna"
"Chittagong","Comilla","Laksam"
"Chittagong","Comilla","Lalmai"
"Chittagong","Comilla","Muradnagar"
"Chittagong","Comilla","Nangalkot"
"Chittagong","Comilla","Comilla Adarsha Sadar"
"Chittagong","Comilla","Meghna"
"Chittagong","Comilla","Titas"
"Chittagong","Comilla","Monohargonj"
"Chittagong","Comilla","Comilla Sadar Dakshin"
"Chittagong","Cox's Bazar","Chakaria"
"Chittagong","Cox's Bazar","Cox's Bazar Sadar"
"Chittagong","Cox's Bazar","Kutubdia"
"Chittagong","Cox's Bazar","Maheshkhali"
"Chittagong","Cox's Bazar","Ramu"
"Chittagong","Cox's Bazar","Teknaf"
"Chittagong","Cox's Bazar","Ukhia"
"Chittagong","Cox's Bazar","Pekua"
"Chittagong","Feni","Chhagalnaiya"
"Chittagong","Feni","Daganbhuiyan"
"Chittagong","Feni","Feni Sadar"
"Chittagong","Feni","Parshuram"
"Chittagong","Feni","Sonagazi"
"Chittagong","Feni","Fulgazi"
"Chittagong","Khagrachhari","Dighinala"
"Chittagong","Khagrachhari","Khagrachhari"
"Chittagong","Khagrachhari","Lakshmichhari"
"Chittagong","Khagrachhari","Mahalchhari"
"Chittagong","Khagrachhari","Manikchhari"
"Chittagong","Khagrachhari","Matiranga"
"Chittagong","Khagrachhari","Panchhari"
"Chittagong","Khagrachhari","Ramgarh"
"Chittagong","Lakshmipur","Lakshmipur Sadar"
"Chittagong","Lakshmipur","Raipur"
"Chittagong","Lakshmipur","Ramganj"
"Chittagong","Lakshmipur","Ramgati"
"Chittagong","Lakshmipur","Kamalnagar"
"Chittagong","Noakhali","Begumganj"
"Chittagong","Noakhali","Noakhali Sadar"
"Chittagong","Noakhali","Chatkhil"
"Chittagong","Noakhali","Companiganj"
"Chittagong","Noakhali","Hatiya"
"Chittagong","Noakhali","Senbagh"
"Chittagong","Noakhali","Sonaimuri"
"Chittagong","Noakhali","Subarnachar"
"Chittagong","Noakhali","Kabirhat"
"Chittagong","Rangamati","Bagaichhari"
"Chittagong","Rangamati","Barkal"
"Chittagong","Rangamati","Kawkhali (Betbunia)"
"Chittagong","Rangamati","Belaichhari"
"Chittagong","Rangamati","Kaptai"
"Chittagong","Rangamati","Juraichhari"
"Chittagong","Rangamati","Langadu"
"Chittagong","Rangamati","Naniyachar"
"Chittagong","Rangamati","Rajasthali"
"Chittagong","Rangamati","Rangamati Sadar"
"Khulna","Bagerhat","Bagerhat Sadar"
"Khulna","Bagerhat","Chitalmari"
"Khulna","Bagerhat","Fakirhat"
"Khulna","Bagerhat","Kachua"
"Khulna","Bagerhat","Mollahat"
"Khulna","Bagerhat","Mongla"
"Khulna","Bagerhat","Morrelganj"
"Khulna","Bagerhat","Rampal"
"Khulna","Bagerhat","Sarankhola"
"Khulna","Chuadanga","Alamdanga"
"Khulna","Chuadanga","Chuadanga Sadar"
"Khulna","Chuadanga","Damurhuda"
"Khulna","Chuadanga","Jibannagar"
"Khulna","Jessore","Abhaynagar"
"Khulna","Jessore","Bagherpara"
"Khulna","Jessore","Chaugachha"
"Khulna","Jessore","Jhikargachha"
"Khulna","Jessore","Keshabpur"
"Khulna","Jessore","Jessore Sadar"
"Khulna","Jessore","Manirampur"
"Khulna","Jessore","Sharsha"
"Khulna","Jhenaidah","Harinakunda"
"Khulna","Jhenaidah","Jhenaidah"
"Khulna","Jhenaidah","Kaliganj"
"Khulna","Jhenaidah","Kotchandpur"
"Khulna","Jhenaidah","Maheshpur"
"Khulna","Jhenaidah","Shailkupa"
"Khulna","Khulna","Batiaghata"
"Khulna","Khulna","Dacope"
"Khulna","Khulna","Dumuria"
"Khulna","Khulna","Dighalia"
"Khulna","Khulna","Koyra"
"Khulna","Khulna","Paikgachha"
"Khulna","Khulna","Phultala"
"Khulna","Khulna","Rupsha"
"Khulna","Khulna","Terokhada"
"Khulna","Kushtia","Bheramara"
"Khulna","Kushtia","Daulatpur"
"Khulna","Kushtia","Khoksa"
"Khulna","Kushtia","Kumarkhali"
"Khulna","Kushtia","Kushtia Sadar"
"Khulna","Kushtia","Mirpur"
"Khulna","Magura","Magura Sadar"
"Khulna","Magura","Mohammadpur"
"Khulna","Magura","Shalikha"
"Khulna","Magura","Sreepur"
"Khulna","Meherpur","Gangni"
"Khulna","Meherpur","Meherpur Sadar"
"Khulna","Meherpur","Mujibnagar"
"Khulna","Narail","Kalia"
"Khulna","Narail","Lohagara"
"Khulna","Narail","Narail Sadar"
"Khulna","Narail","Naragati Thana"
"Khulna","Satkhira","Assasuni"
"Khulna","Satkhira","Debhata"
"Khulna","Satkhira","Kalaroa"
"Khulna","Satkhira","Kaliganj"
"Khulna","Satkhira","Satkhira Sadar"
"Khulna","Satkhira","Shyamnagar"
"Khulna","Satkhira","Tala"
"Rajshahi","Joypurhat","Akkelpur"
"Rajshahi","Joypurhat","Joypurhat Sadar"
"Rajshahi","Joypurhat","Kalai"
"Rajshahi","Joypurhat","Khetlal"
"Rajshahi","Joypurhat","Panchbibi"
"Rajshahi","Bogra","Adamdighi"
"Rajshahi","Bogra","Bogra Sadar"
"Rajshahi","Bogra","Dhunat"
"Rajshahi","Bogra","Dhupchanchia"
"Rajshahi","Bogra","Gabtali"
"Rajshahi","Bogra","Kahaloo"
"Rajshahi","Bogra","Nandigram"
"Rajshahi","Bogra","Sariakandi"
"Rajshahi","Bogra","Shajahanpur"
"Rajshahi","Bogra","Sherpur"
"Rajshahi","Bogra","Shibganj"
"Rajshahi","Bogra","Sonatola"
"Rajshahi","Naogaon","Atrai"
"Rajshahi","Naogaon","Badalgachhi"
"Rajshahi","Naogaon","Manda"
"Rajshahi","Naogaon","Dhamoirhat"
"Rajshahi","Naogaon","Mohadevpur"
"Rajshahi","Naogaon","Naogaon Sadar"
"Rajshahi","Naogaon","Niamatpur"
"Rajshahi","Naogaon","Patnitala"
"Rajshahi","Naogaon","Porsha"
"Rajshahi","Naogaon","Raninagar"
"Rajshahi","Naogaon","Sapahar"
"Rajshahi","Natore","Bagatipara"
"Rajshahi","Natore","Baraigram"
"Rajshahi","Natore","Gurudaspur"
"Rajshahi","Natore","Lalpur"
"Rajshahi","Natore","Natore Sadar"
"Rajshahi","Natore","Singra"
"Rajshahi","Natore","Naldanga"
"Rajshahi","Chapai Nawabganj","Bholahat"
"Rajshahi","Chapai Nawabganj","Gomastapur"
"Rajshahi","Chapai Nawabganj","Nachole"
"Rajshahi","Chapai Nawabganj","Chapai Nawabganj Sadar"
"Rajshahi","Chapai Nawabganj","Shibganj"
"Rajshahi","Pabna","Atgharia"
"Rajshahi","Pabna","Bera"
"Rajshahi","Pabna","Bhangura"
"Rajshahi","Pabna","Chatmohar"
"Rajshahi","Pabna","Faridpur"
"Rajshahi","Pabna","Ishwardi"
"Rajshahi","Pabna","Pabna Sadar"
"Rajshahi","Pabna","Santhia"
"Rajshahi","Pabna","Sujanagar"
"Rajshahi","Sirajganj","Belkuchi"
"Rajshahi","Sirajganj","Chauhali"
"Rajshahi","Sirajganj","Kamarkhanda"
"Rajshahi","Sirajganj","Kazipur"
"Rajshahi","Sirajganj","Raiganj"
"Rajshahi","Sirajganj","Shahjadpur"
"Rajshahi","Sirajganj","Sirajganj Sadar"
"Rajshahi","Sirajganj","Tarash"
"Rajshahi","Sirajganj","Ullahpara"
"Rajshahi","Rajshahi","Bagha"
"Rajshahi","Rajshahi","Bagmara"
"Rajshahi","Rajshahi","Charghat"
"Rajshahi","Rajshahi","Durgapur"
"Rajshahi","Rajshahi","Godagari"
"Rajshahi","Rajshahi","Mohanpur"
"Rajshahi","Rajshahi","Paba"
"Rajshahi","Rajshahi","Puthia"
"Rajshahi","Rajshahi","Tanore"
"Sylhet","Habiganj","Ajmiriganj"
"Sylhet","Habiganj","Bahubal"
"Sylhet","Habiganj","Baniyachong"
"Sylhet","Habiganj","Chunarughat"
"Sylhet","Habiganj","Habiganj Sadar"
"Sylhet","Habiganj","Lakhai"
"Sylhet","Habiganj","Madhabpur"
"Sylhet","Habiganj","Nabiganj"
"Sylhet","Habiganj","Sayestaganj"
"Sylhet","Moulvibazar","Barlekha"
"Sylhet","Moulvibazar","Juri"
"Sylhet","Moulvibazar","Kamalganj"
"Sylhet","Moulvibazar","Kulaura"
"Sylhet","Moulvibazar","Moulvibazar Sadar"
"Sylhet","Moulvibazar","Rajnagar"
"Sylhet","Moulvibazar","Sreemangal"
"Sylhet","Sunamganj","Bishwamvarpur"
"Sylhet","Sunamganj","Chhatak"
"Sylhet","Sunamganj","Dakshin Sunamganj"
"Sylhet","Sunamganj","Derai"
"Sylhet","Sunamganj","Dharamapasha"
"Sylhet","Sunamganj","Dowarabazar"
"Sylhet","Sunamganj","Jagannathpur"
"Sylhet","Sunamganj","Jamalganj"
"Sylhet","Sunamganj","Sullah"
"Sylhet","Sunamganj","Sunamganj Sadar"
"Sylhet","Sunamganj","Tahirpur"
"Sylhet","Sylhet","Balaganj"
"Sylhet","Sylhet","Beanibazar"
"Sylhet","Sylhet","Bishwanath"
"Sylhet","Sylhet","Companigonj"
"Sylhet","Sylhet","Dakshin Surma"
"Sylhet","Sylhet","Fenchuganj"
"Sylhet","Sylhet","Golapganj"
"Sylhet","Sylhet","Gowainghat"
"Sylhet","Sylhet","Jaintiapur"
"Sylhet","Sylhet","Kanaighat"
"Sylhet","Sylhet","Osmani Nagar"
"Sylhet","Sylhet","Sylhet Sadar"
"Sylhet","Sylhet","Zakiganj"
